domain,crawl_count,use_optimizely,rank
airasia.com,5,5,1574
airfarewatchdog.com,34,32,20888
airliners.net,6,0,8966
airnewzealand.co.nz,89,89,29980
airparks.co.uk,31,0,263807
airparks.de,7,0,437522
airpointofsale.com,16,0,673741
airport-parking.uk.com,2,0,516911
airproducts.com,23,0,168244
airpush.com,56,0,213944
airsoftmegastore.com,1,0,76295
airtable.com,2,0,8028
airtame.com,31,0,118793
ajaxshop.nl,31,0,448351
ajws.org,31,0,910824
akismet.com,40,0,26533
akkushop.de,2,0,169465
aktivshop.de,31,0,183909
al-milani.com,2,0,564679
alabamapower.com,1,0,171293
alabamashakes.com,15,0,734121
alamaula.com,12,0,16935
alamode.com,2,0,296091
alansfactoryoutlet.com,31,0,190073
albatros-travel.dk,31,0,638323
alchemistaccelerator.com,2,0,765994
alencorp.com,31,0,819347
alert-1.com,30,0,750369
alexa.com,125,0,2632
alexandani.com,89,0,26759
alexandermcqueen.com,4,0,97942
alexgorbatchev.com,2,0,367489
alfranken.com,17,0,983230
algonquincollege.com,1,0,26703
alibris.com,91,0,27580
alienado.net,31,0,546042
aliensurface.ro,1,0,762843
alienvault.com,10,10,59891
all-about-car-accidents.com,29,1,742806
all4fun.gr,29,0,834913
allclearid.com,11,0,391960
allconnect.com,31,0,116963
allegro.pl,382,0,285
allgreenrecycling.com,14,0,864514
allheart.com,5,0,87342
allied.com,25,0,395373
alliedcash.com,9,0,949112
allizom.org,29,0,324647
alllaw.com,145,145,65165
allpaws.com,1,0,132037
allpopart.com,31,0,549300
allpropertymanagement.com,2,0,246874
allstarhealth.com,31,0,101660
allstate.ca,1,1,256773
allstatemotorclub.com,2,0,641282
allyou.com,3,0,78670
almanaquedospais.com.br,6,0,269010
aloha.com,61,0,290692
alp.org.au,20,0,511438
alpari.com,98,0,12115
alphacard.com,2,0,216471
alphageek.no,31,0,708501
alpharooms.com,20,0,178507
alphasoftware.com,31,0,158408
alpinehomeair.com,31,0,214630
altaopinione.it,12,0,234647
alteryx.com,85,85,65986
altitude-sports.com,1,0,29139
altomfotball.no,30,0,59079
altschool.com,3,0,213058
altvr.com,4,0,305621
alwatanvoice.com,113,0,5592
alwayswellwithin.com,30,0,550840
alzheimer.ca,1,0,290680
ama-assn.org,3,3,29766
amanacapital.com,10,0,418513
amanet.org,31,12,100066
amara.com,5,0,42677
amari.com,1,0,240026
amateurphotographer.co.uk,2,0,57860
amaysim.com.au,3,3,41886
amazingmagnets.com,31,0,930693
amedisys.com,31,0,923512
amelia.se,48,0,226078
americanactionforum.org,31,0,538504
americanapparel.com,16,0,24072
americancraftbeer.com,15,0,801972
americandiscountcruises.com,31,0,407371
americanfloormats.com,31,0,213472
americanhumane.org,26,0,388009
americanhvacparts.com,31,0,664453
americanmedical-id.com,2,0,538905
americanmobile.com,25,0,390459
americanmotorcyclist.com,1,0,326929
amilia.com,2,0,268340
aminshop.net,31,0,448983
amnhealthcare.com,2,0,528095
amoils.com,27,0,304179
amtrav.com,18,0,471166
analiticaweb.es,1,0,361190
analyticspros.com,2,0,940395
ananda.org,28,0,221753
anchor.com.au,2,0,453085
anchor.net.au,1,0,486377
andor.com,58,0,234584
andrewchen.co,90,0,187806
androidheadlines.com,3,0,19301
andymohrford.com,1,0,787131
angelinos.com,16,0,458902
angeltoribio.com,2,0,796433
angieslist.com,8,0,7552
angieslistbusinesscenter.com,14,14,310399
animod.de,2,0,271175
animoto.com,117,0,8936
anki.com,155,0,57014
annieselke.com,2,0,152752
annmariegianni.com,1,0,65472
anovaculinary.com,23,0,10578
answerbag.com,217,0,231414
answerhub.com,1,0,575147
anthonynolan.org,1,0,490803
anti-virus4u.com,31,0,352943
anymeeting.com,215,0,44599
anyvan.com,9,0,101491
apartmentguide.com,118,118,13070
apartmentlist.com,91,0,29434
aplus.net,33,0,133761
apollo.se,31,0,159952
apoteket.se,10,0,69630
apotekhjartat.se,2,0,121001
appcelerator.com,71,0,130189
appcelerator.org,2,0,337770
appcues.com,22,0,92403
appdynamics.com,91,91,48154
apperian.com,1,0,800522
appfolio.com,1,1,5076
applevacations.com,4,0,61093
appleyardflowers.com,62,0,334132
appliancepartspros.com,73,0,28890
appliancesonline.com.au,83,0,48384
appmachine.com,85,0,154200
appointlet.com,2,0,131547
appointmentcore.com,12,0,156293
apprenda.com,2,0,267052
apprendre-la-photo.fr,14,0,179902
appster.com.au,1,0,563188
appsterhq.com,1,0,196303
apptentive.com,28,24,207595
aprendizdecabeleireira.com,9,0,183737
aptdeco.com,62,0,206388
aqarmap.com,66,0,34674
aquaillumination.com,30,0,571152
aquazoomaniashop.it,62,0,819212
aramex.co.za,21,0,397864
aramex.com,2,0,10588
aras.com,31,0,160462
arbeitskleidung-billiger.de,2,0,951025
arbonne.com,2,0,34201
arbor.edu,31,0,166053
architectsjournal.co.uk,31,0,80672
architectural-review.com,31,0,153741
architecture.org,1,0,293618
arcserve.com,30,0,165444
arcsoft.com,30,0,121808
arcsoft.com.cn,1,0,178433
ardms.org,1,0,372417
arenawaterinstinct.com,1,1,155810
argentorshop.be,31,0,510527
arhaus.com,1,0,111514
ariat.com,1,0,111041
arluis.com,31,0,588436
armani.com,100,0,27992
armed.cz,1,0,256595
armorconcepts.com,1,0,848171
armstronggarden.com,2,0,461540
arnoldclark.com,2,0,60746
arrangementfinders.com,33,0,217475
artemano.ca,3,0,650680
artinstitutes.edu,3,0,36193
artsycouture.com,31,0,468109
artworkarchive.com,2,0,205547
as-garten.de,29,0,396478
asaas.com,17,0,88217
asana.com,138,0,593
aseanlegacy.net,6,0,910326
asha.org,92,0,21548
ashford.edu,24,24,25479
ashop.com.au,2,0,808729
ashop.me,31,0,614430
ashridgetrees.co.uk,2,0,330718
ashro.com,2,0,418983
ashtonwoods.com,16,0,233813
asianislanders.com,1,0,775612
asibayi.com,2,0,756951
asics.co.jp,1,0,613827
asics.com,20,18,13464
asics.com.cn,31,0,281081
asics.ru,2,0,414890
ask-aladdin.com,1,0,371958
askdrmaxwell.com,1,0,501390
askjan.org,18,0,336080
aspcapetinsurance.com,30,0,205411
aspinaloflondon.com,31,0,126125
asport.pl,31,0,415963
asseenontv.com,31,0,125570
assembla.com,99,0,30767
assignmentx.com,31,0,741330
assistant.to,2,0,307553
astratex.cz,31,0,62670
astratex.ro,31,0,198545
astratex.ua,2,0,299298
astrolis.com,31,0,96058
astronomie.de,28,0,183830
astronomyonline.org,26,0,634468
astrosoftware.com,93,0,986734
atalasoft.com,31,0,770759
atelierduchocolat.fr,31,0,861687
athome.de,31,0,339800
athome.lu,8,0,49170
atkins.com,33,33,59841
atlassian.com,10,10,2026
atoffice.lu,31,0,866963
attendicon.com,1,0,339715
attendify.com,31,0,222785
attendly.com,2,0,928499
attn.com,29,0,30335
attorneys.com,18,0,355501
attractiontix.co.uk,6,0,408119
aucklandmuseum.com,31,0,406405
auction.com,90,0,26885
auctionzip.com,63,0,26370
audibene.de,28,28,133331
audicus.com,17,0,292038
audifs.com,20,0,114135
audiusa.com,84,81,15337
augsburger-allgemeine.de,57,0,14719
august.com,27,0,75064
aujourdhui.fr,6,0,21007
aukro.cz,29,0,12585
australianethical.com.au,2,0,470771
authenticireland.com,6,0,800319
authoritylabs.com,66,0,192632
autistichoya.com,11,0,668568
autobandenmarkt.be,31,0,967360
autobandenmarkt.nl,31,0,558121
autobutler.co.uk,31,0,910126
autobutler.de,30,0,524973
autobutler.dk,30,0,307600
autobutler.se,31,0,878819
autocarnet.gr,26,0,551912
autocreditexpress.com,3,0,239907
autodesk360.com,1,0,45593
autoescape.com,155,0,227154
autofact.cl,27,0,283520
autoglass.co.uk,11,0,260016
autographfashion.com.au,1,0,156742
autohaus24.de,89,0,73241
autokult.pl,6,0,18118
autolist.com,155,0,58903
automatedinsights.com,31,0,290405
automattic.com,36,0,79464
automotivetouchup.com,31,0,92856
autopilothq.com,19,0,75010
autoreifenonline.de,93,0,350223
autoscout24.at,59,0,31822
autoscout24.be,12,0,14120
autoscout24.com,76,0,16897
autoscout24.com.ua,23,0,476625
autoscout24.de,117,10,2389
autoscout24.es,12,0,23886
autoscout24.fr,41,0,33602
autoscout24.it,16,0,5580
autoscout24.lu,5,0,621567
autoscout24.nl,16,0,40066
autoscout24.se,23,0,844937
autoservice.com,31,0,572446
autosport.com,63,0,14114
autoteile-meile.ch,1,0,837419
autoteile-meile.de,1,1,189814
autotrader.co.nz,2,0,228478
autovit.ro,6,0,12661
auvik.com,31,0,229513
avaaz.org,88,0,8516
avalara.com,179,0,65800
avalara.net,21,0,279225
