domain	price	experiment_id	audience_id
indeed.com	sale	10192763601	
classpass.com	$	9860015954	9864691118
classpass.com	price	10162425499	10164738462
classpass.com	price	9860015954	9864691118
keen.com	sale	10076159812	
keen.com	price	10076159812	
bitbucket.org	price	8429700139	8236091357
bitbucket.org	price	8429700139	9627700832
skillshare.com	$	9826723055	
cruisecritic.com	price	10239091328	8459566781
homechef.com	$	10193438215	10189865538
wheniwork.com	sale	8482375813	8319100074
wheniwork.com	sale	8482375813	8573134715
wheniwork.com	sale	8482375813	8563408307
wheniwork.com	sale	8482375813	8565265267
wheniwork.com	sale	8482375813	8563904178
wheniwork.com	sale	8482375813	8393347034
wheniwork.com	sale	8482375813	8573070332
wheniwork.com	sale	8895951320	8336343670
wheniwork.com	sale	8895951320	8900130804
wheniwork.com	sale	8895951320	8573134715
wheniwork.com	sale	8895951320	8319100074
proschools.com	$	9181295180	
proschools.com	$	9582260096	
proschools.com	$	9585570567	
proschools.com	sale	9181295180	
proschools.com	sale	9582260096	
proschools.com	price	9181295180	
proschools.com	price	9585570567	
onetime.com	price	10377150696	8598841187
mozu.com	$	8790328721	4377865326
shopkeep.com	sale	8503001948	8506990262
simyo.nl	$	9503543641	
simyo.nl	price	9503543641	
bilbasen.dk	sale	8507305016	
bilbasen.dk	sale	8507404089	
bilbasen.dk	sale	8513254153	
legalzoom.com	$	10157980895	
legalzoom.com	$	10157993538	
legalzoom.com	$	10188691395	10165430865
drinkhint.com	$	9262059660	8193075668
drinkhint.com	price	10136980824	
drinkhint.com	price	9065720662	
optimizely.com	sale	10162102130	10163812886
optimizely.com	sale	10162102130	10165491061
theage.com.au	$	10284630089	10277621357
tryg.no	price	10065304959	9728960728
icracked.com	$	10201480195	
icracked.com	price	8390986976	8400431019
icracked.com	price	8390986976	8393164707
icracked.com	price	8390986976	8389736788
icracked.com	price	8390986976	8386981591
icracked.com	price	8390986976	8413221589
icracked.com	price	8392733659	8400431019
icracked.com	price	8392733659	8393164707
icracked.com	price	8392733659	8390815283
icracked.com	price	8392733659	8398424823
icracked.com	price	8392733659	8413221589
icracked.com	price	8395503852	8400431019
icracked.com	price	8395503852	8393164707
icracked.com	price	8395503852	8391695830
icracked.com	price	8395503852	8399363921
icracked.com	price	8395503852	8413221589
icracked.com	price	8423249368	8400431019
icracked.com	price	8423249368	8393164707
icracked.com	price	8423249368	8391695830
icracked.com	price	8423249368	8399363921
icracked.com	price	8423249368	8404024834
icracked.com	price	8425653998	8400431019
icracked.com	price	8425653998	8393164707
icracked.com	price	8425653998	8395555027
icracked.com	price	8425653998	8392236310
icracked.com	price	8425653998	8404024834
credomobile.com	$	10192674564	8373867254
credomobile.com	$	10311750025	
credomobile.com	$	8315094286	8327190419
credomobile.com	$	8317200411	8311193374
credomobile.com	$	8317930737	8324130756
credomobile.com	$	8317930737	8149680603
credomobile.com	$	8317930737	8134062029
credomobile.com	$	8317930737	8129063377
credomobile.com	$	8317930737	8136810837
credomobile.com	$	8545081096	8548711946
credomobile.com	$	8675884187	8633379393
credomobile.com	$	8724961692	8727710259
credomobile.com	$	9016350693	9016660526
credomobile.com	$	9105501265	9112491526
credomobile.com	$	9108900462	9108871015
credomobile.com	$	9111130482	9107820544
credomobile.com	$	9267185218	9261014608
credomobile.com	$	9268754776	9268425865
credomobile.com	$	9416295621	9415405510
credomobile.com	$	9422911822	9427980708
credomobile.com	$	9498810929	9507261600
credomobile.com	$	9524800220	9497050790
credomobile.com	$	9626230962	8373867254
credomobile.com	$	9723123677	9736432806
credomobile.com	$	9819084081	
credomobile.com	$	9824832456	9832941876
credomobile.com	sale	8317930737	8324130756
credomobile.com	sale	8317930737	8149680603
credomobile.com	sale	8317930737	8134062029
credomobile.com	sale	8317930737	8129063377
credomobile.com	sale	8317930737	8136810837
credomobile.com	price	8317930737	8324130756
credomobile.com	price	8317930737	8149680603
credomobile.com	price	8317930737	8134062029
credomobile.com	price	8317930737	8129063377
credomobile.com	price	8317930737	8136810837
credomobile.com	price	9626230962	8373867254
volusion.com	$	8790328721	4377865326
misoca.jp	price	9737476062	
vsp.com	$	10294180474	
